ProductID,ProductName,Brand,Category,Year,Month,QuantitySold
1,CVT Cleaner,Koby,Maintenance,2023,January,29
1,CVT Cleaner,Koby,Maintenance,2023,February,14
1,CVT Cleaner,Koby,Maintenance,2023,March,35
1,CVT Cleaner,Koby,Maintenance,2023,April,22
1,CVT Cleaner,Koby,Maintenance,2023,May,24
1,CVT Cleaner,Koby,Maintenance,2023,June,28
1,CVT Cleaner,Koby,Maintenance,2023,July,13
1,CVT Cleaner,Koby,Maintenance,2023,August,24
1,CVT Cleaner,Koby,Maintenance,2023,September,23
1,CVT Cleaner,Koby,Maintenance,2023,October,36
1,CVT Cleaner,Koby,Maintenance,2023,November,56
1,CVT Cleaner,Koby,Maintenance,2023,December,55
1,CVT Cleaner,Koby,Maintenance,2024,January,5
1,CVT Cleaner,Koby,Maintenance,2024,February,8
1,CVT Cleaner,Koby,Maintenance,2024,March,14
1,CVT Cleaner,Koby,Maintenance,2024,April,2
1,CVT Cleaner,Koby,Maintenance,2024,May,26
1,CVT Cleaner,Koby,Maintenance,2024,June,25
1,CVT Cleaner,Koby,Maintenance,2024,July,19
1,CVT Cleaner,Koby,Maintenance,2024,August,38
1,CVT Cleaner,Koby,Maintenance,2024,September,19
1,CVT Cleaner,Koby,Maintenance,2024,October,10
1,CVT Cleaner,Koby,Maintenance,2024,November,21
1,CVT Cleaner,Koby,Maintenance,2024,December,19
1,CVT Cleaner,Koby,Maintenance,2025,January,102
1,CVT Cleaner,Koby,Maintenance,2025,February,83
1,CVT Cleaner,Koby,Maintenance,2025,March,82
1,CVT Cleaner,Koby,Maintenance,2025,April,62
1,CVT Cleaner,Koby,Maintenance,2025,May,62
1,CVT Cleaner,Koby,Maintenance,2025,June,81
1,CVT Cleaner,Koby,Maintenance,2025,July,68
1,CVT Cleaner,Koby,Maintenance,2025,August,59
1,CVT Cleaner,Koby,Maintenance,2025,September,49
1,CVT Cleaner,Koby,Maintenance,2025,October,69
